"Rank","Name","Team","Cl","Pos","Games","Assists","Per Game"
"1","Catarina Macario","Stanford","Jr.","-","25","23","0.92"
"2","Lucy Ashworth","Lamar University","Jr.","F","23","17","0.74"
"3","Jimena Lopez","Texas A&M","Jr.","M","21","15","0.71"
"4","Angela Caloia","Harvard","Fr.","F","16","11","0.69"
"5","Kiersten Edlund","Troy","Sr.","M","19","13","0.68"
"6","Stasia Mallin","Memphis","Sr.","D","21","14","0.67"
"7","Abby Jones","Murray St.","So.","-","17","11","0.65"
"8","Ansley Frazier","Massachusetts","Fr.","M","19","12","0.63"
"9","Keeley Leising","Winthrop","Sr.","D","16","10","0.63"
"9","Ashley Sanchez","UCLA","Jr.","F","24","15","0.63"
"11","Atlanta Primus","Cal St. Fullerton","Sr.","M","21","13","0.62"
"12","Renee Guion","Clemson","So.","D","20","12","0.60"
"13","Madison Haley","Stanford","Jr.","-","24","14","0.58"
"14","Abigail Zoeller","Mercer","Jr.","M","19","11","0.58"
"15","Murphy Agnew","Harvard","Jr.","F","14","8","0.57"
"15","Abby Townsend","Ohio","So.","F","21","12","0.57"
"17","Lizzy Braby","BYU","Sr.","M","23","13","0.57"
"18","Boo Jackson","Georgetown","So.","-","16","9","0.56"
"19","Haley Crawford","James Madison","Sr.","-","22","12","0.55"
"19","Jaci Jones","Oklahoma St.","Sr.","M","22","12","0.55"
"19","Alexa Spaanstra","Virginia","So.","M","22","12","0.55"
"22","Kiley Suter","Colorado Col.","So.","F","17","9","0.53"
"22","Jenna Wilt","Colorado Col.","Jr.","M","17","9","0.53"
"24","Jessica Donald","Campbell","So.","F","19","10","0.53"
"24","Alexa Genas","Campbell","Sr.","F","19","10","0.53"
"26","Emily Fox","North Carolina","Jr.","-","22","11","0.50"
"26","Katie Lockwood","Campbell","Sr.","M","16","8","0.50"
"26","Miciah Madison","San Francisco","Sr.","F","20","10","0.50"
"26","Sarah Stratigakis","Michigan","Jr.","M","24","12","0.50"
"30","Deyna Castellanos","Florida St.","Sr.","-","23","11","0.48"
"31","Sabrina Bryan","Hofstra","Jr.","F","21","10","0.48"
"31","Rylan Childers","UMKC","So.","M","21","10","0.48"
"31","Madison Elwell","Vanderbilt","Jr.","M","21","10","0.48"
"31","Andrea Hauksdottir","South Fla.","Sr.","M","21","10","0.48"
"35","Gaby Schwartz","Milwaukee","Jr.","D","19","9","0.47"
"35","Sierra Stone","Hartford","Sr.","M","19","9","0.47"
"37","Julia Grosso","Texas","So.","-","17","8","0.47"
"37","Emily Moxley","UNCW","Fr.","F","17","8","0.47"
"39","Gracie Wilson","South Alabama","Fr.","M","22","10","0.45"
"40","Haley Berg","Texas","Jr.","-","20","9","0.45"
"40","Hannah Doherty","Elon","Sr.","-","20","9","0.45"
"42","Ally Grunstein","Quinnipiac","Sr.","-","18","8","0.44"
"42","Vital Kats","Kent St.","Jr.","-","18","8","0.44"
"42","Rene Ross","Marshall","Jr.","-","18","8","0.44"
"42","Eva Van Deursen","Arizona St.","So.","M","18","8","0.44"
"46","Marjorie Boilesen","FGCU","Sr.","M","16","7","0.44"
"46","Jenny Hipp","Massachusetts","Jr.","-","16","7","0.44"
"46","Becca Jostes","SIUE","Sr.","-","16","7","0.44"
"46","Melissa K�ssler","Massachusetts","Fr.","-","16","7","0.44"
"46","Chloe O'Neill","Villanova","So.","-","16","7","0.44"
"51","Parker Goins","Arkansas","Jr.","-","23","10","0.43"
"51","Kelcie Hedge","Santa Clara","Jr.","M","23","10","0.43"
"51","Marissa Kinsey","Arkansas","Sr.","-","23","10","0.43"
"51","Esther Okoronkwo","Lamar University","Jr.","F","23","10","0.43"
"51","Kelsey Turnbow","Santa Clara","Jr.","-","23","10","0.43"
"51","Ricarda Walkling","NC State","Sr.","M","23","10","0.43"
"57","Taylor Aylmer","Rutgers","Sr.","M","21","9","0.43"
"57","Haley Brown","Cal St. Fullerton","Jr.","F","21","9","0.43"
"57","Alyssa Frazier","Samford","Jr.","f","21","9","0.43"
"57","Mya Jones","Memphis","Fr.","M","21","9","0.43"
"57","Sydny Nasello","South Fla.","So.","F","21","9","0.43"
"57","Jaelyn Peeples","Louisiana Tech","Sr.","M","21","9","0.43"
"57","Yazmeen Ryan","TCU","Jr.","M","21","9","0.43"
"57","Lucy Shepherd","Hofstra","Jr.","F","21","9","0.43"
"57","Sophia Smith","Stanford","So.","-","21","9","0.43"
"57","Miri Taylor","Hofstra","So.","M","21","9","0.43"
"67","Sophia Fondren","SFA","Jr.","-","19","8","0.42"
"67","Celiana Torres","SMU","So.","M","19","8","0.42"
"69","Brianna Alger","Washington St.","Jr.","D","24","10","0.42"
"70","Julia Grainda","Charlotte","Sr.","-","17","7","0.41"
"70","Emily Hogan","Central Conn. St.","Sr.","D","17","7","0.41"
"70","Natalie Jones","Abilene Christian","Fr.","M","17","7","0.41"
"70","Suzuka Yosue","The Citadel","Fr.","-","17","7","0.41"
"74","Jessie Ray","Seattle U","Sr.","-","22","9","0.41"
"75","Gracie Armstrong","Colorado St.","So.","F","20","8","0.40"
"75","Sam Coffey","Penn St.","Jr.","M","25","10","0.40"
"75","Gabby Diodati","Fairfield","Jr.","M","20","8","0.40"
"75","Emina Ekic","Louisville","Jr.","M","20","8","0.40"
"75","Chloe Frisch","San Diego St.","Jr.","-","20","8","0.40"
"75","Carrie Lewis","Xavier","Jr.","-","20","8","0.40"
"75","Frankie Tagliaferri","Penn St.","Jr.","M","25","10","0.40"
"75","Jada Talley","Arizona","Jr.","-","20","8","0.40"
"83","Natalie Jacobs","Southern California","Sr.","F","23","9","0.39"
"83","Cameron Tucker","BYU","Jr.","F","23","9","0.39"
"83","Chelsee Washington","Bowling Green","Sr.","M","23","9","0.39"
