 


  
  

NCAA Women's Soccer
Division IShutouts
Through Games 12/08/2019


"Rank","Name","Team","Cl","Pos","Shutouts"
"1","Mikayla Krzeczowski","South Carolina","Sr.","-","16"
"2","Amanda Knaub","Monmouth","Sr.","-","15"
"3","Jordyn Bloomer","Wisconsin","Sr.","GK","13"
"","Maggie Smither","South Dakota St.","Sr.","GK","13"
"5","Laurel Ivory","Virginia","Jr.","GK","12"
"","Meagan McClelland","Rutgers","So.","GK","12"
"","Sydney Smith","Boise St.","So.","-","12"
"8","Kelsey Brann","North Texas","So.","GK","11"
"","Caroline DeLisle","UCF","Fr.","-","11"
"","Bethany Kopel","Indiana","Jr.","-","11"
"","Katie Lund","Arkansas","Sr.","-","11"
"","Teagan Micah","UCLA","Sr.","GK","11"
"","Mary Niehaus","Saint Louis","Sr.","-","11"
"","Sarah Peters","Kansas","So.","GK","11"
"15","Ella Dederick","Washington St.","Sr.","GK","10"
"","Aaliyah Fesili","Sacramento St.","Jr.","GK","10"
"","Sydney Fortson","Navy","Sr.","GK","10"
"","Alayah Hightower","Howard","Sr.","GK","10"
"","Claire Howard","Montana","Jr.","-","10"
"","Shantel Hutton","Texas A&M","Fr.","GK","10"
"","Lena Kurz","UIC","Jr.","GK","10"
"","Mandy McGlynn","Virginia Tech","Sr.","-","10"
"","Katie Meyer","Stanford","So.","-","10"
"","Carly Nelson","Utah","Sr.","-","10"
"","Justice Stanford","South Alabama","Sr.","GK","10"
"","Brittany Wilson","Denver","Sr.","GK","10"
"27","Angelina Anderson","California","Fr.","GK","9"
"","Marisa Bova","Purdue","So.","-","9"
"","Sabrina Davis","BYU","Sr.","GK","9"
"","Mollie Eriksson","DePaul","So.","GK","9"
"","Amanda Fitzgerald","Fairleigh Dickinson","Sr.","-","9"
"","Melissa Gray","Lipscomb","Sr.","-","9"
"","Quinn Josiah","Prairie View","So.","GK","9"
"","Gabby Kouzelos","Louisville","Jr.","GK","9"
"","Morgan McAslan","Samford","So.","GK","9"
"","Megan McClure","Arkansas St.","Jr.","GK","9"
"","Gabi McDonald","Colorado St.","So.","GK","9"
"","Elizabeth Moberg","Memphis","Jr.","GK","9"
"","Stephanie Rodriguez","Butler","Jr.","-","9"
"","Noa Schumacher","Cal St. Fullerton","So.","GK","9"
"","Haley Smith","Illinois St.","Sr.","-","9"
"","Kayla Thompson","Brown","Jr.","-","9"
"","Jalen Tompkins","Colorado","Sr.","-","9"
"44","Hillary Beall","Michigan","Jr.","GK","8"
"","Rylee Foster","West Virginia","Sr.","-","8"
"","Kyleigh Hall","A&M-Corpus Christi","Jr.","-","8"
"","Melody Jayroe","Liberty","Jr.","GK","8"
"","Talia Klimes","High Point","Sr.","-","8"
"","Elaina LaMacchia","Milwaukee","So.","GK","8"
"","Madison Less","Cincinnati","Jr.","GK","8"
"","Sofia Manner","Stony Brook","Jr.","GK","8"
"","Emily Parrott","UTEP","Fr.","GK","8"
"","Erin Roth","UMKC","Sr.","GK","8"
"","Miranda Royds","Lehigh","Jr.","-","8"
"","Melissa Weck","FGCU","Sr.","GK","8"
"56","Emily Alvarado","TCU","Jr.","GK","7"
